x [mm],y [mm],intensity [arb]
-42.25,-43.25,5.34480428695678
-41.75,-43.25,5.33457422256469
-41.25,-43.25,5.26753950119018
-40.75,-43.25,5.15934944152832
-40.25,-43.25,5.0253586769104
-39.75,-43.25,4.87890768051147
-39.25,-43.25,4.73028469085693
-38.75,-43.25,4.5861701965332
-38.25,-43.25,4.44969177246093
-37.75,-43.25,4.32090282440185
-37.25,-43.25,4.19754076004028
-36.75,-43.25,4.07595109939575
-36.25,-43.25,3.95203375816345
-35.75,-43.25,3.82212305068969
-35.25,-43.25,3.68373298645019
-34.75,-43.25,3.53608202934265
-34.25,-43.25,3.38032126426696
-33.75,-43.25,3.21947145462036
-33.25,-43.25,3.05808043479919
-32.75,-43.25,2.9015941619873
-32.25,-43.25,2.75567126274108
-31.75,-43.25,2.62550067901611
-31.25,-43.25,2.51533222198486
-30.75,-43.25,2.42831492424011
-30.25,-43.25,2.36665368080139
-29.75,-43.25,2.33194470405578
-29.25,-43.25,2.32555389404296
-28.75,-43.25,2.34883451461792
-28.25,-43.25,2.40302729606628
-27.75,-43.25,2.48890995979309
-27.25,-43.25,2.60642004013061
-26.75,-43.25,2.75437641143798
-26.25,-43.25,2.93063688278198
-25.75,-43.25,3.13272047042846
-25.25,-43.25,3.35869026184082
-24.75,-43.25,3.60807847976684
-24.25,-43.25,3.88230109214782
-23.75,-43.25,4.18437385559082
-23.25,-43.25,4.51770448684692
-22.75,-43.25,4.8841700553894
-22.25,-43.25,5.28199863433837
-21.75,-43.25,5.7038779258728
-21.25,-43.25,6.13596534729003
-20.75,-43.25,6.55819606781005
-20.25,-43.25,6.94596290588378
-19.75,-43.25,7.27301931381225
-19.25,-43.25,7.5151343345642
-18.75,-43.25,7.65387344360351
-18.25,-43.25,7.67974424362182
-17.75,-43.25,7.59414291381835
-17.25,-43.25,7.40957450866699
-16.75,-43.25,7.14809131622314
-16.25,-43.25,6.83847284317016
-15.75,-43.25,6.5126609802246
-15.25,-43.25,6.20218801498413
-14.75,-43.25,5.93521690368652
-14.25,-43.25,5.73459386825561
-13.75,-43.25,5.61667251586914
-13.25,-43.25,5.59082746505737
-12.75,-43.25,5.65886449813842
-12.25,-43.25,5.81433916091918
-11.75,-43.25,6.04203224182128
-11.25,-43.25,6.31812191009521
-10.75,-43.25,6.6117992401123
-10.25,-43.25,6.88864660263061
-9.75,-43.25,7.11554956436157
-9.25,-43.25,7.26622772216796
