x(cm),y(cm),Transient (arb),Normalized Transient
-2.275,-4.425,1.68219,1.35560999589011
-2.225,-4.425,1.69712,1.36764148890733
-2.175,-4.425,1.7117,1.37939093084914
-2.125,-4.425,1.72595,1.39087443891983
-2.075,-4.425,1.73987,1.4020920131194
-2.025,-4.425,1.75344,1.41302753624356
-1.975,-4.425,1.76668,1.42369712549661
-1.925,-4.425,1.77958,1.43409272227639
-1.875,-4.425,1.79214,1.44421432658291
-1.825,-4.425,1.80435,1.45405387981401
-1.775,-4.425,1.81623,1.46362749917399
-1.725,-4.425,1.82776,1.47291906745856
-1.675,-4.425,1.83896,1.48194470187201
-1.625,-4.425,1.84981,1.49068828521005
-1.575,-4.425,1.86032,1.49915787607482
-1.525,-4.425,1.8705,1.50736153306847
-1.475,-4.425,1.88033,1.51528313898671
-1.425,-4.425,1.88982,1.52293075243168
-1.375,-4.425,1.89898,1.53031243200554
-1.325,-4.425,1.9078,1.53742011910614
-1.275,-4.425,1.91628,1.54425381373347
-1.225,-4.425,1.92443,1.55082157448969
-1.175,-4.425,1.93223,1.55710728417049
-1.125,-4.425,1.93971,1.56313511858233
-1.075,-4.425,1.94685,1.56888896052091
-1.025,-4.425,1.95366,1.57437686858837
-0.975,-4.425,1.96014,1.57959884278473
-0.925,-4.425,1.96628,1.58454682450782
-0.875,-4.425,1.9721,1.58923693096196
-0.825,-4.425,1.97758,1.59365304494282
-0.775,-4.425,1.98274,1.59781128365474
-0.725,-4.425,1.98757,1.60170358849554
-0.675,-4.425,1.99208,1.60533801806739
-0.625,-4.425,1.99625,1.60869845516597
-0.575,-4.425,2.00011,1.61180907559775
-0.525,-4.425,2.00364,1.61465376215842
-0.475,-4.425,2.00684,1.61723251484797
-0.425,-4.425,2.00972,1.61955339226858
-0.375,-4.425,2.01228,1.62161639442022
-0.325,-4.425,2.01452,1.62342152130291
-0.275,-4.425,2.01643,1.6249607143145
-0.225,-4.425,2.01803,1.62625009065927
-0.175,-4.425,2.0193,1.62727353313294
-0.125,-4.425,2.02026,1.62804715893981
-0.075,-4.425,2.02089,1.62855485087557
-0.025,-4.425,2.0212,1.62880466754237
0.025,-4.425,2.0212,1.62880466754237
0.075,-4.425,2.02087,1.62853873367126
0.125,-4.425,2.02022,1.62801492453119
0.175,-4.425,2.01926,1.62724129872432
0.225,-4.425,2.01797,1.62620173904635
0.275,-4.425,2.01636,1.62490430409941
0.325,-4.425,2.01443,1.62334899388352
0.375,-4.425,2.01218,1.62153580839868
0.425,-4.425,2.0096,1.61945668904272
0.475,-4.425,2.00671,1.61712775301996
0.525,-4.425,2.00349,1.61453288312609
0.575,-4.425,1.99995,1.61168013796327
0.625,-4.425,1.99608,1.60856145892933
0.675,-4.425,1.99189,1.60518490462644
0.725,-4.425,1.98737,1.60154241645244
0.775,-4.425,1.98252,1.59763399440733
0.825,-4.425,1.97735,1.59346769709326
0.875,-4.425,1.97185,1.58903546590808
0.925,-4.425,1.96602,1.58433730085179
0.975,-4.425,1.95986,1.57937320192439
1.025,-4.425,1.95337,1.57414316912588
1.075,-4.425,1.94655,1.56864720245626
1.125,-4.425,1.93939,1.56287724331337
1.175,-4.425,1.9319,1.55684135029938
1.225,-4.425,1.92408,1.55053952341427
1.275,-4.425,1.91592,1.54396370405589
1.325,-4.425,1.90742,1.53711389222425
1.375,-4.425,1.89859,1.5299981465215
1.425,-4.425,1.88942,1.52260840834549
1.475,-4.425,1.87991,1.51494467769621
1.525,-4.425,1.87006,1.50700695457366
1.575,-4.425,1.85988,1.49880329758
1.625,-4.425,1.84935,1.49031758951092
1.675,-4.425,1.83848,1.48155788896858
1.725,-4.425,1.82727,1.47252419595297
1.775,-4.425,1.81572,1.4632165104641
1.825,-4.425,1.80383,1.45363483250195
1.875,-4.425,1.7916,1.44377916206655
1.925,-4.425,1.77902,1.43364144055572
1.975,-4.425,1.76611,1.42323778517378
2.025,-4.425,1.75286,1.41256013731858
2.075,-4.425,1.73927,1.40160849699011
2.125,-4.425,1.72534,1.39038286418838
2.175,-4.425,1.71107,1.37888323891338
2.225,-4.425,1.69647,1.36711767976727
2.275,-4.425,1.68153,1.35507812814789
2.325,-4.425,1.66626,1.3427726426574
2.375,-4.425,1.65066,1.33020122329581
2.425,-4.425,1.63473,1.3173638700631
2.475,-4.425,1.61847,1.30426058295928
2.525,-4.425,1.60189,1.29089942058651
2.575,-4.425,1.58498,1.27727232434262
2.625,-4.425,1.56776,1.26339541143193
2.675,-4.425,1.55023,1.24926868185445
2.725,-4.425,1.53238,1.234884077008
2.775,-4.425,1.51422,1.22024965549476
2.825,-4.425,1.49576,1.20537347591687
2.875,-4.425,1.477,1.19025553827433
2.925,-4.425,1.45795,1.1749039011693
2.975,-4.425,1.4386,1.15931050599963
3.025,-4.425,1.41897,1.14349146996962
3.075,-4.425,1.39906,1.12744679307927
3.125,-4.425,1.37888,1.11118453393074
3.175,-4.425,1.35843,1.09470469252404
3.225,-4.425,1.33772,1.0780153274613
3.275,-4.425,1.31675,1.06111643874254
3.325,-4.425,1.29554,1.04402414357206
3.375,-4.425,1.27408,1.0267303833477
3.425,-4.425,1.25239,1.00925127527379
3.475,-4.425,1.23048,0.99159487795247
3.525,-4.425,1.20834,0.973753132781588
3.575,-4.425,1.186,0.955750215567608
3.625,-4.425,1.16345,0.937578067708375
3.675,-4.425,1.14072,0.919260865010355
3.725,-4.425,1.11779,0.900782490269238
3.775,-4.425,1.09469,0.882167119291488
3.825,-4.425,1.07143,0.86342281067926
3.875,-4.425,1.04801,0.844549564432554
3.925,-4.425,1.02444,0.825555439153524
3.975,-4.425,1.00074,0.806456552046482
4.025,-4.425,0.97691,0.787252903111426
4.075,-4.425,0.952963,0.767954968531159
4.125,-4.425,0.928909,0.748570806907834
4.175,-4.425,0.904759,0.729109282703822
4.225,-4.425,0.880524,0.709579260381494
4.275,-4.425,0.856214,0.689988798543005
4.325,-4.425,0.831839,0.670345955790509
4.375,-4.425,0.807412,0.650661208306807
4.425,-4.425,0.782942,0.63094180883384
-4.475,-4.375,0.757792,0.610674424414341
-4.425,-4.375,0.78186,0.630069868080683
-4.375,-4.375,0.805898,0.64944113594056
-4.325,-4.375,0.829894,0.668778557671386
-4.275,-4.375,0.853837,0.688073268810792
-4.225,-4.375,0.877719,0.707318822477053
-4.175,-4.375,0.901527,0.726504742487368
-4.125,-4.375,0.925252,0.745623776099798
-4.075,-4.375,0.948883,0.764667058851972
-4.025,-4.375,0.972411,0.78362733800195
-3.975,-4.375,0.995825,0.802495749087363
-3.925,-4.375,1.01912,0.821268262807133
-3.875,-4.375,1.04227,0.839923926795658
-3.825,-4.375,1.06529,0.858474828956169
-3.775,-4.375,1.08815,0.876896793482203
-3.725,-4.375,1.11085,0.895189820373758
-3.675,-4.375,1.13338,0.913345851028681
-3.625,-4.375,1.15573,0.931356826844815
-3.575,-4.375,1.1779,0.949222747822163
-3.525,-4.375,1.19987,0.966927496756413
-3.475,-4.375,1.22163,0.98446301504541
-3.425,-4.375,1.24318,1.00182930268916
-3.375,-4.375,1.26451,1.01901830108549
-3.325,-4.375,1.28562,1.03603001023442
-3.275,-4.375,1.30648,1.05284025432948
-3.225,-4.375,1.32711,1.06946515057498
-3.175,-4.375,1.34749,1.08588858176661
-3.125,-4.375,1.36761,1.10210248930221
-3.075,-4.375,1.38748,1.11811493178393
-3.025,-4.375,1.40707,1.13390173340532
-2.975,-4.375,1.4264,1.14947901137069
-2.925,-4.375,1.44545,1.16483064847572
-2.875,-4.375,1.46421,1.17994858611825
-2.825,-4.375,1.48268,1.1948328242983
-2.775,-4.375,1.50087,1.20949142161801
-2.725,-4.375,1.51875,1.22390020227091
-2.675,-4.375,1.53634,1.23807528346133
-2.625,-4.375,1.55362,1.25200054798495
-2.575,-4.375,1.5706,1.26568405444392
-2.525,-4.375,1.58726,1.27910968563393
-2.475,-4.375,1.60361,1.29228550015714
-2.425,-4.375,1.61964,1.3052034394114
-2.375,-4.375,1.63535,1.3178635033967
-2.325,-4.375,1.65074,1.33026569211305
-2.275,-4.375,1.6658,1.34240194695828
-2.225,-4.375,1.68054,1.35428032653456
-2.175,-4.375,1.69495,1.36589277223973
-2.125,-4.375,1.70903,1.37723928407378
-2.075,-4.375,1.72279,1.38832792063889
-2.025,-4.375,1.7362,1.39913450612857
-1.975,-4.375,1.74929,1.40968321634929
-1.925,-4.375,1.76204,1.41995793409675
-1.875,-4.375,1.77446,1.4299667179731
-1.825,-4.375,1.78655,1.43970956797834
-1.775,-4.375,1.7983,1.44917842551031
-1.725,-4.375,1.80971,1.45837329056902
-1.675,-4.375,1.82079,1.46730222175661
-1.625,-4.375,1.83153,1.47595716047095
-1.575,-4.375,1.84194,1.48434616531416
-1.525,-4.375,1.85201,1.49246117768412
-1.475,-4.375,1.86175,1.50031025618296
-1.425,-4.375,1.87115,1.50788534220854
-1.375,-4.375,1.88022,1.51519449436301
-1.325,-4.375,1.88896,1.52223771264636
-1.275,-4.375,1.89736,1.52900693845646
-1.225,-4.375,1.90543,1.53551023039544
-1.175,-4.375,1.91317,1.54174758846331
-1.125,-4.375,1.92058,1.54771901266006
-1.075,-4.375,1.92766,1.55342450298571
-1.025,-4.375,1.93441,1.55886405944025
-0.975,-4.375,1.94084,1.56404574062583
-0.925,-4.375,1.94693,1.56895342933815
-0.875,-4.375,1.9527,1.57360324278151
-0.825,-4.375,1.95814,1.57798712235376
-0.775,-4.375,1.96326,1.58211312665705
-0.725,-4.375,1.96805,1.58597319708923
-0.675,-4.375,1.97252,1.58957539225246
-0.625,-4.375,1.97667,1.59291971214673
-0.575,-4.375,1.98049,1.59599809816989
-0.525,-4.375,1.98399,1.5988186089241
-0.475,-4.375,1.98717,1.60138124440934
-0.425,-4.375,1.99003,1.60368600462564
-0.375,-4.375,1.99258,1.60574094817513
-0.325,-4.375,1.9948,1.60752995785351
-0.275,-4.375,1.9967,1.60906109226294
-0.225,-4.375,1.99828,1.61033435140341
-0.175,-4.375,1.99955,1.61135779387707
-0.125,-4.375,2.00049,1.61211530247963
-0.075,-4.375,2.00112,1.61262299441539
-0.025,-4.375,2.00143,1.61287281108219
0.025,-4.375,2.00143,1.61287281108219
0.075,-4.375,2.0011,1.61260687721108
0.125,-4.375,2.00046,1.61209112667317
0.175,-4.375,1.9995,1.6113175008663
0.225,-4.375,1.99822,1.61028599979048
0.275,-4.375,1.99662,1.6089966234457
0.325,-4.375,1.99471,1.60745743043412
0.375,-4.375,1.99247,1.60565230355143
0.425,-4.375,1.98992,1.60359736000193
0.475,-4.375,1.98704,1.60127648258133
0.525,-4.375,1.98385,1.59870578849393
0.575,-4.375,1.98033,1.59586916053541
0.625,-4.375,1.97649,1.59277465730794
0.675,-4.375,1.97233,1.58942227881152
0.725,-4.375,1.96785,1.58581202504614
0.775,-4.375,1.96304,1.58193583740964
0.825,-4.375,1.95791,1.57780177450419
0.875,-4.375,1.95246,1.57340983632979
0.925,-4.375,1.94667,1.56874390568212
0.975,-4.375,1.94057,1.56382815836765
1.025,-4.375,1.93413,1.55863841857991
1.075,-4.375,1.92736,1.55318274492107
1.125,-4.375,1.92027,1.54746919599326
1.175,-4.375,1.91285,1.54148971319435
1.225,-4.375,1.90509,1.53523623792217
1.275,-4.375,1.89701,1.52872488738104
1.325,-4.375,1.88859,1.52193954436663
1.375,-4.375,1.87984,1.51488826748112
1.425,-4.375,1.87075,1.50756299812235
1.475,-4.375,1.86133,1.49997179489246
1.525,-4.375,1.85158,1.49211465779146
1.575,-4.375,1.84149,1.4839835282172
1.625,-4.375,1.83107,1.47558646477182
1.675,-4.375,1.82031,1.46691540885318
1.725,-4.375,1.80922,1.45797841906343
1.775,-4.375,1.79779,1.44876743680041
1.825,-4.375,1.78603,1.43929052066629
1.875,-4.375,1.77393,1.42953961205889
1.925,-4.375,1.7615,1.41952276958039
1.975,-4.375,1.74873,1.40923193462862
