Time [ms],Trace [mG]
0.128528,-5.7694
0.129536,-4.36828
0.130544,-4.53468
0.131552,-4.58706
0.13256,-2.9359
0.133569,-3.20864
0.134577,-3.0753
0.135585,-1.58154
0.136593,-2.2316
0.137601,-1.59786
0.138609,-2.65751
0.139617,-1.16963
0.140625,-0.771581
0.141633,-0.293693
0.142641,0.608113
0.143649,-0.184282
0.144657,-0.149936
0.145665,0.55592
0.146673,1.61954
0.147681,-0.443299
0.14869,1.01378
0.149698,2.39526
0.150706,1.33952
0.151714,0.880692
0.152722,1.16596
0.15373,2.08733
0.154738,1.6682
0.155746,2.44963
0.156754,1.92532
0.157762,3.60774
0.15877,2.76126
0.159778,0.78488
0.160786,2.45994
0.161794,2.68462
0.162802,1.81873
0.16381,1.92025
0.164819,3.34892
0.165827,2.86147
0.166835,2.66342
0.167843,2.76713
0.168851,1.72457
0.169859,1.95276
0.170867,2.05845
0.171875,3.00295
0.172883,3.51792
0.173891,2.16705
0.174899,1.28817
0.175907,2.94271
0.176915,0.689376
0.177923,2.05867
0.178931,1.47057
0.17994,1.39889
0.180948,1.41284
0.181956,1.07339
0.182964,0.604492
0.183972,0.565437
0.18498,1.72866
0.185988,1.62114
0.186996,2.05147
0.188004,0.52884
0.189012,2.18492
0.19002,3.25671
0.191028,3.16065
0.192036,1.96762
0.193044,1.60837
0.194052,2.34485
0.19506,2.34569
0.196069,2.6672
0.197077,2.28972
0.198085,3.1839
0.199093,4.91599
0.200101,2.74724
0.201109,2.99272
0.202117,2.35136
0.203125,2.49817
0.204133,1.9514
0.205141,4.03543
0.206149,4.24013
0.207157,4.85822
0.208165,2.65434
0.209173,4.3883
0.210181,3.82228
0.21119,3.04538
0.212198,3.76448
0.213206,3.31541
0.214214,4.3329
0.215222,5.3257
0.21623,5.25748
0.217238,4.1614
0.218246,4.89223
0.219254,6.34537
0.220262,4.00983
0.22127,5.39991
0.222278,5.70527
0.223286,5.25384
0.224294,4.87039
0.225302,5.37462
0.22631,4.43346
0.227319,4.9404
0.228327,5.28508
0.229335,3.37764
0.230343,3.95228
0.231351,6.34503
0.232359,4.82122
0.233367,4.31997
0.234375,1.98325
0.235383,4.83727
0.236391,3.60699
0.237399,1.16338
0.238407,3.14815
0.239415,5.84694
0.240423,3.66158
0.241431,1.93948
0.24244,2.28508
0.243448,4.95867
0.244456,2.76232
0.245464,0.166106
0.246472,0.65499
0.24748,6.61384
0.248488,5.09602
0.249496,-0.837791
0.250504,-1.12883
0.251512,2.08985
0.25252,0.844587
0.253528,1.84569
0.254536,1.69971
0.255544,2.74777
0.256552,2.29268
0.25756,1.5409
0.258569,1.15364
0.259577,2.33949
0.260585,1.41094
0.261593,1.80377
0.262601,1.70532
