Time [us],Trace [arb. u.]
0.381296,0.120692
0.385296,0.138322
0.389296,0.156293
0.393296,0.170061
0.397296,0.183225
0.401296,0.198158
0.405296,0.209875
0.409296,0.219449
0.413296,0.225298
0.417296,0.228821
0.421296,0.227532
0.425296,0.22284
0.429296,0.215663
0.433296,0.210794
0.437296,0.205069
0.441296,0.20168
0.445296,0.196652
0.449296,0.189514
0.453296,0.185288
0.457296,0.179996
0.461296,0.169578
0.465296,0.155396
0.469296,0.14317
0.473296,0.125708
0.477296,0.106177
0.481296,0.0836771
0.485296,0.0625579
0.489296,0.0395797
0.493296,0.017276
0.497296,-0.00454683
0.501296,-0.0289266
0.505296,-0.0473324
0.509296,-0.0644208
0.513296,-0.0841646
0.517296,-0.0981247
0.521296,-0.111471
0.525296,-0.12625
0.529296,-0.137516
0.533296,-0.149093
0.537296,-0.161158
0.541296,-0.168843
0.545296,-0.177554
0.549296,-0.186214
0.553296,-0.194626
0.557296,-0.200511
0.561296,-0.204437
0.565296,-0.21073
0.569296,-0.218097
0.573296,-0.221187
0.577296,-0.224853
0.581296,-0.228701
0.585296,-0.23075
0.589296,-0.233132
0.593296,-0.232849
0.597296,-0.234881
0.601296,-0.236473
0.605296,-0.23608
0.609296,-0.234294
0.613296,-0.232688
0.617296,-0.227301
0.621296,-0.2197
0.625296,-0.211311
0.629296,-0.201212
0.633296,-0.189758
0.637296,-0.179433
0.641296,-0.167634
0.645296,-0.155499
0.649296,-0.144303
0.653296,-0.134261
0.657296,-0.123416
0.661296,-0.112268
0.665296,-0.101688
0.669296,-0.0918428
0.673296,-0.0808829
0.677296,-0.069177
0.681296,-0.0585698
0.685296,-0.0520309
0.689296,-0.0448375
0.693296,-0.0388343
0.697296,-0.0319213
0.701296,-0.0287269
0.705296,-0.0264365
0.709296,-0.0253172
0.713296,-0.0229283
0.717296,-0.0250831
0.721296,-0.0252739
0.725296,-0.0304594
0.729296,-0.0336518
0.733296,-0.0358556
0.737296,-0.040025
0.741296,-0.0408319
0.745296,-0.0375827
0.749296,-0.0354291
0.753296,-0.0317923
0.757296,-0.0264469
0.761296,-0.0198902
0.765296,-0.0119929
0.769296,-0.0063367
0.773296,0.000521655
0.777296,0.00525854
0.781296,0.0143
0.785296,0.019991
0.789296,0.0243447
0.793296,0.0278713
0.797296,0.034409
0.801296,0.0419074
0.805296,0.0485635
0.809296,0.058527
0.813296,0.0691622
0.817296,0.0809343
0.821296,0.0939861
0.825296,0.106147
0.829296,0.116759
0.833296,0.125752
0.837296,0.135034
0.841296,0.141812
0.845296,0.147879
0.849296,0.152924
0.853296,0.154534
0.857296,0.151923
0.861296,0.147789
0.865296,0.143162
0.869296,0.137286
0.873296,0.130597
0.877296,0.128761
0.881296,0.122892
0.885296,0.117653
0.889296,0.110881
0.893296,0.102845
0.897296,0.0972807
0.901296,0.0888663
0.905296,0.0777766
0.909296,0.0693156
0.913296,0.0635967
0.917296,0.0547227
0.921296,0.0447172
0.925296,0.0322445
0.929296,0.0226629
0.933296,0.0105279
0.937296,-0.00234864
0.941296,-0.0134651
0.945296,-0.0240277
0.949296,-0.0360826
0.953296,-0.0436963
0.957296,-0.0503048
0.961296,-0.0628807
0.965296,-0.0706732
0.969296,-0.0750434
0.973296,-0.0793162
0.977296,-0.0815377
0.981296,-0.0867296
0.985296,-0.0875167
0.989296,-0.0869418
0.993296,-0.0881308
0.997296,-0.0886742
1.0013,-0.0920406
1.0053,-0.092808
1.0093,-0.0938599
1.0133,-0.0937059
1.0173,-0.0949304
1.0213,-0.0955193
1.0253,-0.0981881
1.0293,-0.0987588
1.0333,-0.0977268
1.0373,-0.0961259
1.0413,-0.0959727
1.0453,-0.0922788
1.0493,-0.0877616
1.0533,-0.0823386
1.0573,-0.0755617
1.0613,-0.0695386
1.0653,-0.0627831
1.0693,-0.0527482
1.0733,-0.0436798
1.0773,-0.0326885
1.0813,-0.0283772
1.0853,-0.0215889
1.0893,-0.0165213
1.0933,-0.00913041
1.0973,-0.00161673
1.1013,0.00418089
1.1053,0.0126589
1.1093,0.0193589
1.1133,0.0239093
1.1173,0.029718
1.1213,0.0363274
1.1253,0.0388914
1.1293,0.0437932
1.1333,0.0481915
1.1373,0.0504911
1.1413,0.0531647
1.1453,0.0531402
1.1493,0.0514375
1.1533,0.0491849
1.1573,0.045657
1.1613,0.0411316
1.1653,0.0376292
1.1693,0.03465
1.1733,0.0315769
1.1773,0.0288506
1.1813,0.0253527
1.1853,0.0214806
1.1893,0.021107
1.1933,0.0198355
1.1973,0.0172861
1.2013,0.0204165
1.2053,0.0226733
1.2093,0.024794
1.2133,0.0255595
1.2173,0.026671
1.2213,0.0314877
1.2253,0.0314278
1.2293,0.031433
1.2333,0.032267
1.2373,0.0342664
1.2413,0.0384022
1.2453,0.039948
1.2493,0.0436094
1.2533,0.0468795
1.2573,0.0506472
1.2613,0.0547078
1.2653,0.0576327
1.2693,0.0613281
1.2733,0.0663729
1.2773,0.0709159
1.2813,0.0722557
1.2853,0.0721907
1.2893,0.0739111
1.2933,0.0735671
1.2973,0.07265
1.3013,0.0703132
1.3053,0.0677031
1.3093,0.0619824
1.3133,0.0566282
1.3173,0.0497713
1.3213,0.0454225
1.3253,0.0395922
1.3293,0.0344542
1.3333,0.0294209
1.3373,0.0236995
1.3413,0.0161413
1.3453,0.0110782
1.3493,0.00510345
1.3533,-0.000207817
1.3573,-0.00383692
1.3613,-0.00764557
1.3653,-0.0112638
1.3693,-0.0184573
1.3733,-0.0248343
1.3773,-0.0285663
1.3813,-0.0320661
1.3853,-0.0387917
1.3893,-0.0441953
1.3933,-0.0472237
1.3973,-0.0487166
1.4013,-0.052074
1.4053,-0.0540041
1.4093,-0.0588593
1.4133,-0.0602607
1.4173,-0.0570768
1.4213,-0.059338
1.4253,-0.0602181
1.4293,-0.0575765
1.4333,-0.0554653
1.4373,-0.0578629
1.4413,-0.0566543
1.4453,-0.0551862
1.4493,-0.0556697
1.4533,-0.0565567
1.4573,-0.056467
1.4613,-0.0555182
1.4653,-0.0550306
1.4693,-0.0539447
1.4733,-0.0552233
1.4773,-0.0538151
1.4813,-0.050991
1.4853,-0.0479591
1.4893,-0.0451894
1.4933,-0.0403407
1.4973,-0.0349089
1.5013,-0.0300507
1.5053,-0.0248222
1.5093,-0.0190725
1.5133,-0.0147545
1.5173,-0.00827199
1.5213,-0.00186062
1.5253,0.00198349
1.5293,0.00677861
1.5333,0.0131519
1.5373,0.0173378
1.5413,0.0190245
1.5453,0.0222557
1.5493,0.0254608
1.5533,0.0305165
1.5573,0.0320169
1.5613,0.0341153
1.5653,0.0378547
1.5693,0.0379143
1.5733,0.0381834
1.5773,0.0377919
1.5813,0.0388895
1.5853,0.0392184
1.5893,0.0391089
1.5933,0.0389517
1.5973,0.037412
1.6013,0.0338494
1.6053,0.0299048
1.6093,0.024564
1.6133,0.0207382
1.6173,0.0188479
1.6213,0.0131577
1.6253,0.0109096
1.6293,0.00739749
1.6333,0.00489078
1.6373,0.00332959
1.6413,0.00263403
1.6453,0.00100968
1.6493,0.00187365
1.6533,0.00131138
1.6573,0.0020165
1.6613,0.00241136
1.6653,0.00304756
1.6693,0.00372579
1.6733,0.00345153
1.6773,0.00483855
1.6813,0.00665511
1.6853,0.00952653
1.6893,0.0120481
1.6933,0.0108922
1.6973,0.0131418
1.7013,0.0150762
1.7053,0.0181357
1.7093,0.0175821
1.7133,0.0178845
1.7173,0.0226505
1.7213,0.021994
1.7253,0.0230827
1.7293,0.0221292
1.7333,0.0216724
1.7373,0.0200802
1.7413,0.0195613
1.7453,0.0162444
1.7493,0.0145051
1.7533,0.0127489
1.7573,0.0103636
1.7613,0.00585282
1.7653,0.0030181
1.7693,0.00152571
1.7733,-0.00144753
1.7773,-0.00671311
1.7813,-0.00539903
1.7853,-0.00814482
1.7893,-0.0105343
1.7933,-0.0130526
1.7973,-0.0154508
1.8013,-0.017051
1.8053,-0.019143
1.8093,-0.0207518
1.8133,-0.0233996
1.8173,-0.0253537
1.8213,-0.0247179
1.8253,-0.0271842
1.8293,-0.0288976
1.8333,-0.0314207
1.8373,-0.0326927
1.8413,-0.0299571
1.8453,-0.030667
1.8493,-0.0327339
1.8533,-0.0312773
1.8573,-0.0296765
1.8613,-0.0292313
1.8653,-0.0287426
1.8693,-0.0290186
1.8733,-0.0281893
1.8773,-0.0263435
1.8813,-0.0261729
1.8853,-0.0268473
1.8893,-0.0252013
1.8933,-0.0245431
1.8973,-0.024354
1.9013,-0.024924
1.9053,-0.0234837
1.9093,-0.0233587
1.9133,-0.0236627
1.9173,-0.0219088
1.9213,-0.0182342
1.9253,-0.0175807
1.9293,-0.0125572
1.9333,-0.0104581
1.9373,-0.00752462
1.9413,-0.00427704
1.9453,-0.000370998
1.9493,0.00246794
1.9533,0.00594777
1.9573,0.00992904
1.9613,0.0141458
1.9653,0.015887
1.9693,0.0189438
1.9733,0.0212126
1.9773,0.0217333
1.9813,0.0265402
1.9853,0.0270048
1.9893,0.0292589
1.9933,0.031608
1.9973,0.0327511
2.0013,0.0332081
2.0053,0.0343133
2.0093,0.0355271
2.0133,0.0344172
2.0173,0.0326596
2.0213,0.030695
2.0253,0.0300108
2.0293,0.0267216
2.0333,0.025449
2.0373,0.0226745
2.0413,0.0200571
2.0453,0.02005
2.0493,0.0144673
2.0533,0.013523
2.0573,0.00908919
2.0613,0.00667355
2.0653,0.00372267
2.0693,-0.000311192
2.0733,-0.00196412
2.0773,-0.00334135
2.0813,-0.00515858
2.0853,-0.00626101
2.0893,-0.00653981
2.0933,-0.00743469
2.0973,-0.00816705
2.1013,-0.00668565
2.1053,-0.00833324
2.1093,-0.00712354
2.1133,-0.00523239
2.1173,-0.00570829
2.1213,-0.00307923
2.1253,-0.00257275
2.1293,-0.00172878
2.1333,-0.000666373
2.1373,0.00230798
2.1413,0.00213967
2.1453,0.00446247
2.1493,0.00452172
2.1533,0.00329968
2.1573,0.00394833
2.1613,0.00329635
2.1653,0.00478497
2.1693,0.0036642
2.1733,0.00257634
2.1773,0.00256111
2.1813,0.00187777
2.1853,0.000378364
2.1893,-0.000104095
2.1933,-0.00186419
