x (mm),y (mm),intensity (arb. units)
-0.75,-44.25,2.1046615638402825e-06
-0.25,-44.25,2.1470837336432228e-06
0.25,-44.25,2.1892067980264067e-06
0.75,-44.25,2.230939163859785e-06
1.25,-44.25,2.272184016046284e-06
1.75,-44.25,2.3128384044161597e-06
2.25,-44.25,2.352788002865067e-06
2.75,-44.25,2.3919000915657976e-06
3.25,-44.25,2.4300156378484194e-06
3.75,-44.25,2.4669438611827675e-06
4.25,-44.25,2.5024599819019043e-06
4.75,-44.25,2.5363076191106098e-06
5.25,-44.25,2.568205066203248e-06
5.75,-44.25,2.597854432556597e-06
6.25,-44.25,2.6249520841065234e-06
6.75,-44.25,2.649198401204044e-06
7.25,-44.25,2.6703060500087852e-06
7.75,-44.25,2.6880062536196246e-06
8.25,-44.25,2.7020537321792608e-06
8.75,-44.25,2.7122303758722366e-06
9.25,-44.25,2.7183488504476195e-06
9.75,-44.25,2.7202566366345783e-06
10.25,-44.25,2.717840481406992e-06
10.75,-44.25,2.7110305969759823e-06
11.25,-44.25,2.6998044145551955e-06
11.75,-44.25,2.684188970720342e-06
12.25,-44.25,2.664261418741811e-06
12.75,-44.25,2.6401469253299767e-06
13.25,-44.25,2.612015337306247e-06
13.75,-44.25,2.5800760584569754e-06
14.25,-44.25,2.5445722842796297e-06
14.75,-44.25,2.505774289484309e-06
15.25,-44.25,2.4639724805041597e-06
15.75,-44.25,2.4194701828980886e-06
16.25,-44.25,2.372576074829718e-06
16.75,-44.25,2.3235973986846273e-06
17.25,-44.25,2.272834869273108e-06
17.75,-44.25,2.220579004237275e-06
18.25,-44.25,2.167108949037095e-06
18.75,-44.25,2.1126935240920995e-06
19.25,-44.25,2.057593590136806e-06
19.75,-44.25,2.002064059409471e-06
20.25,-44.25,1.9463551590988125e-06
20.75,-44.25,1.890711712994641e-06
21.25,-44.25,1.8353707479882866e-06
21.75,-44.25,1.7805572531962984e-06
22.25,-44.25,1.7264789145349344e-06
22.75,-44.25,1.6733217586154214e-06
23.25,-44.25,1.6212465782817918e-06
23.75,-44.25,1.5703875112641207e-06
24.25,-44.25,1.5208523845575643e-06
24.75,-44.25,1.472724010861175e-06
25.25,-44.25,1.426062400518142e-06
25.75,-44.25,1.3809058973903972e-06
26.25,-44.25,1.3372716106889715e-06
26.75,-44.25,1.2951546176289363e-06
27.25,-44.25,1.2545256947965966e-06
27.75,-44.25,1.2153276063398792e-06
28.25,-44.25,1.1774708402817156e-06
28.75,-44.25,1.1408288776267675e-06
29.25,-44.25,1.1052340102434442e-06
29.75,-44.25,1.0704743376958523e-06
30.25,-44.25,1.036293649283797e-06
30.75,-44.25,1.0023944208962365e-06
31.25,-44.25,9.684446089489725e-07
31.75,-44.25,9.340877531356741e-07
32.25,-44.25,8.989559592924762e-07
32.75,-44.25,8.626854431998983e-07
33.25,-44.25,8.249339538460981e-07
33.75,-44.25,7.854015324189896e-07
34.25,-44.25,7.438551755832167e-07
34.75,-44.25,7.001583413448082e-07
35.25,-44.25,6.543041755339216e-07
35.75,-44.25,6.06448952365184e-07
36.25,-44.25,5.569399500024116e-07
36.75,-44.25,5.063294276420523e-07
37.25,-44.25,4.553669149997426e-07
37.75,-44.25,4.049641696827132e-07
38.25,-44.25,3.5613328139288526e-07
38.75,-44.25,3.099040139857468e-07
39.25,-44.25,2.672325073164787e-07
39.75,-44.25,2.2891617893576465e-07
40.25,-44.25,1.9552947043277554e-07
40.75,-44.25,1.6738987897914682e-07
41.25,-44.25,1.445569601827363e-07
41.75,-44.25,1.26859522854703e-07
42.25,-44.25,1.1394041657587008e-07
42.75,-44.25,1.0530601024972706e-07
43.25,-44.25,1.0036942616143755e-07
43.75,-44.25,9.848141214746971e-08
44.25,-44.25,9.89447258654515e-08
44.75,-44.25,1.0100848260872165e-07
-44.75,-43.75,1.4686166643843033e-07
-44.25,-43.75,1.3971247527175906e-07
-43.75,-43.75,1.3492850897105643e-07
-43.25,-43.75,1.333863286760581e-07
-42.75,-43.75,1.3552766445755658e-07
-42.25,-43.75,1.41353007448114e-07
-41.75,-43.75,1.5055890812176157e-07
-41.25,-43.75,1.6267421427509523e-07
-40.75,-43.75,1.7710935336313955e-07
-40.25,-43.75,1.932051660897393e-07
-39.75,-43.75,2.1028524137878504e-07
-39.25,-43.75,2.277086265359804e-07
-38.75,-43.75,2.449176742906627e-07
-38.25,-43.75,2.614751701557271e-07
-37.75,-43.75,2.770856554722105e-07
-37.25,-43.75,2.9159898814133907e-07
-36.75,-43.75,3.049971168459861e-07
-36.25,-43.75,3.173688419376693e-07
-35.75,-43.75,3.288778009368033e-07
-35.25,-43.75,3.3972939015910005e-07
-34.75,-43.75,3.5014139213116443e-07
-34.25,-43.75,3.603210471183273e-07
-33.75,-43.75,3.7044944034508976e-07
-33.25,-43.75,3.8067297090248815e-07
-32.75,-43.75,3.911006540418817e-07
-32.25,-43.75,4.018059443598092e-07
-31.75,-43.75,4.128312438486935e-07
-31.25,-43.75,4.2419405283194795e-07
-30.75,-43.75,4.3589400927237536e-07
-30.25,-43.75,4.4791989201317463e-07
-29.75,-43.75,4.602561872993495e-07
-29.25,-43.75,4.728886186744408e-07
-28.75,-43.75,4.858085902729274e-07
-28.25,-43.75,4.990161067302607e-07
-27.75,-43.75,5.12520994289188e-07
-27.25,-43.75,5.263426627175592e-07
-26.75,-43.75,5.405085663605575e-07
-26.25,-43.75,5.550517183499581e-07
-25.75,-43.75,5.700074875121429e-07
-25.25,-43.75,5.854102220749906e-07
-24.75,-43.75,6.012900769906317e-07
-24.25,-43.75,6.176707581045224e-07
-23.75,-43.75,6.345690333636121e-07
-23.25,-43.75,6.519963746646564e-07
-22.75,-43.75,6.699635259702329e-07
-22.25,-43.75,6.884875631718293e-07
-21.75,-43.75,7.076001422315018e-07
-21.25,-43.75,7.273555447963913e-07
-20.75,-43.75,7.478364293294746e-07
-20.25,-43.75,7.691552601923902e-07
-19.75,-43.75,7.914506421324956e-07
-19.25,-43.75,8.148783349835503e-07
-18.75,-43.75,8.395981545082644e-07
-18.25,-43.75,8.657586233656406e-07
-17.75,-43.75,8.934820167035305e-07
-17.25,-43.75,9.228521570921966e-07
-16.75,-43.75,9.539068852805375e-07
-16.25,-43.75,9.86636929359962e-07
-15.75,-43.75,1.0209912175031107e-06
-15.25,-43.75,1.0568873512510243e-06
-14.75,-43.75,1.0942254399627168e-06
-14.25,-43.75,1.1329022487414167e-06
-13.75,-43.75,1.1728228984489536e-06
-13.25,-43.75,1.2139081062533547e-06
-12.75,-43.75,1.2560963656303505e-06
-12.25,-43.75,1.2993412857794697e-06
-11.75,-43.75,1.3436057039946955e-06
-11.25,-43.75,1.3888544508840147e-06
