x (mm),y (mm),intensity (arb. units)
-6.75,-43.75,1.70707557786837e-06
-6.25,-43.75,1.7543836582116846e-06
-5.75,-43.75,1.801776811940623e-06
-5.25,-43.75,1.8491726770436327e-06
-4.75,-43.75,1.8965195026061505e-06
-4.25,-43.75,1.9437814557488674e-06
-3.75,-43.75,1.9909226996474615e-06
-3.25,-43.75,2.037892849059052e-06
-2.75,-43.75,2.084616456845886e-06
-2.25,-43.75,2.1309882702087322e-06
-1.75,-43.75,2.1768738756379607e-06
-1.25,-43.75,2.2221149286678383e-06
-0.75,-43.75,2.2665373143433307e-06
-0.25,-43.75,2.309959466937197e-06
0.25,-43.75,2.352199112861035e-06
0.75,-43.75,2.393075824146369e-06
1.25,-43.75,2.43240928319184e-06
1.75,-43.75,2.470014552196994e-06
2.25,-43.75,2.505695047569126e-06
2.75,-43.75,2.5392366322895147e-06
3.25,-43.75,2.5704034768456e-06
3.75,-43.75,2.59893769801587e-06
4.25,-43.75,2.6245635704343712e-06
4.75,-43.75,2.6469950835504993e-06
5.25,-43.75,2.665946943874856e-06
5.75,-43.75,2.6811475738433087e-06
6.25,-43.75,2.6923528127511935e-06
6.75,-43.75,2.6993599725812052e-06
7.25,-43.75,2.70202033215485e-06
7.75,-43.75,2.700248778787211e-06
8.25,-43.75,2.6940279827612925e-06
8.75,-43.75,2.6834073639314124e-06
9.25,-43.75,2.668495578700389e-06
9.75,-43.75,2.6494489249027826e-06
10.25,-43.75,2.626456713774832e-06
10.75,-43.75,2.59972637841003e-06
11.25,-43.75,2.569471919929544e-06
11.75,-43.75,2.5359071250388924e-06
12.25,-43.75,2.4992442171482493e-06
12.75,-43.75,2.45969722618591e-06
13.25,-43.75,2.4174878786975126e-06
13.75,-43.75,2.3728518014956237e-06
14.25,-43.75,2.3260423839266976e-06
14.75,-43.75,2.2773308208381478e-06
15.25,-43.75,2.2270016205597503e-06
15.75,-43.75,2.175344208986907e-06
16.25,-43.75,2.122643890828929e-06
16.75,-43.75,2.069172496374509e-06
17.25,-43.75,2.0151826504904627e-06
17.75,-43.75,1.9609048109742167e-06
18.25,-43.75,1.9065476077070083e-06
18.75,-43.75,1.8523005302931315e-06
19.25,-43.75,1.7983378726903462e-06
19.75,-43.75,1.7448232829447854e-06
20.25,-43.75,1.691912820630593e-06
20.75,-43.75,1.639757281701456e-06
21.25,-43.75,1.5885032640021137e-06
21.75,-43.75,1.5382914840540369e-06
22.25,-43.75,1.4892531048569951e-06
22.75,-43.75,1.441503907004019e-06
23.25,-43.75,1.3951376774378444e-06
23.75,-43.75,1.3502202260101984e-06
24.25,-43.75,1.306785596392816e-06
24.75,-43.75,1.2648355889366716e-06
25.25,-43.75,1.2243420553123845e-06
25.75,-43.75,1.1852510039251916e-06
26.25,-43.75,1.1474878451674466e-06
26.75,-43.75,1.1109614529738545e-06
27.25,-43.75,1.0755659102667046e-06
27.75,-43.75,1.0411806674340745e-06
28.25,-43.75,1.0076694715091142e-06
28.75,-43.75,9.74878336136264e-07
29.25,-43.75,9.426335022606351e-07
29.75,-43.75,9.10739942218824e-07
30.25,-43.75,8.789803672710588e-07
30.75,-43.75,8.471151163007212e-07
31.25,-43.75,8.14883768726492e-07
31.75,-43.75,7.820096737123485e-07
32.25,-43.75,7.482091651096441e-07
32.75,-43.75,7.132072694698883e-07
33.25,-43.75,6.767608439780915e-07
33.75,-43.75,6.386884347806271e-07
34.25,-43.75,5.989045942826871e-07
34.75,-43.75,5.574545842200296e-07
35.25,-43.75,5.145424739464974e-07
35.75,-43.75,4.705476939800971e-07
36.25,-43.75,4.260244961943278e-07
36.75,-43.75,3.816802366819664e-07
37.25,-43.75,3.383330907079664e-07
37.75,-43.75,2.968525788706765e-07
38.25,-43.75,2.580895139589987e-07
38.75,-43.75,2.2280516414239985e-07
39.25,-43.75,1.916097395230408e-07
39.75,-43.75,1.6491908161036654e-07
40.25,-43.75,1.4293432981926724e-07
40.75,-43.75,1.256451523023171e-07
41.25,-43.75,1.1285111804391325e-07
41.75,-43.75,1.0419439899304221e-07
42.25,-43.75,9.919466828120194e-08
42.75,-43.75,9.727958102253146e-08
43.25,-43.75,9.7806881846357e-08
43.75,-43.75,1.0005052800942858e-07
44.25,-43.75,1.0322284037680283e-07
44.75,-43.75,1.0658923413215489e-07
-44.75,-43.25,1.3345760760941422e-07
-44.25,-43.25,1.299765549682467e-07
