x (mm),y (mm),intensity (arb. units)
-37.75,-43.75,2.5287845639987455e-07
-37.25,-43.75,2.684658091352152e-07
-36.75,-43.75,2.835497645838294e-07
-36.25,-43.75,2.9818469572855794e-07
-35.75,-43.75,3.124622247419703e-07
-35.25,-43.75,3.264931580666995e-07
-34.75,-43.75,3.4039204545463726e-07
-34.25,-43.75,3.5426496536324633e-07
-33.75,-43.75,3.6820156425533e-07
-33.25,-43.75,3.822711339164094e-07
-32.75,-43.75,3.9652266769821973e-07
-32.25,-43.75,4.1098800260367663e-07
-31.75,-43.75,4.256873440948509e-07
-31.25,-43.75,4.4063616205735224e-07
-30.75,-43.75,4.558517965226071e-07
-30.25,-43.75,4.7135843062605584e-07
-29.75,-43.75,4.871896503117212e-07
-29.25,-43.75,5.033875995459183e-07
-28.75,-43.75,5.19999136229869e-07
-28.25,-43.75,5.370702506706325e-07
-27.75,-43.75,5.546398768138112e-07
-27.25,-43.75,5.727350935552637e-07
-26.75,-43.75,5.913691129754789e-07
-26.25,-43.75,6.105418620050272e-07
-25.75,-43.75,6.302436184954668e-07
-25.25,-43.75,6.504598655209341e-07
-24.75,-43.75,6.711757601557342e-07
-24.25,-43.75,6.923789522955181e-07
-23.75,-43.75,7.140603650268235e-07
-23.25,-43.75,7.362131993354934e-07
-22.75,-43.75,7.588313735582943e-07
-22.25,-43.75,7.819086089115072e-07
-21.75,-43.75,8.054390963237938e-07
-21.25,-43.75,8.294201694719576e-07
-20.75,-43.75,8.538564654015411e-07
-20.25,-43.75,8.787651710022486e-07
-19.75,-43.75,9.041813388644515e-07
-19.25,-43.75,9.301617063045195e-07
-18.75,-43.75,9.567867090749462e-07
-18.25,-43.75,9.841604755170038e-07
-17.75,-43.75,1.012408139017694e-06
-17.25,-43.75,1.0416698883824256e-06
-16.75,-43.75,1.0720930562030205e-06
-16.25,-43.75,1.1038215672903918e-06
-15.75,-43.75,1.1369846649790866e-06
-15.25,-43.75,1.17168656985094e-06
-14.75,-43.75,1.2079988492277954e-06
-14.25,-43.75,1.2459571058181285e-06
-13.75,-43.75,1.2855619280840055e-06
-13.25,-43.75,1.3267843077250575e-06
-12.75,-43.75,1.3695728381937335e-06
-12.25,-43.75,1.41386191479687e-06
-11.75,-43.75,1.4595783925444467e-06
-11.25,-43.75,1.5066462613324146e-06
-10.75,-43.75,1.554989608725654e-06
-10.25,-43.75,1.6045349238069776e-06
-9.75,-43.75,1.6552134222409066e-06
-9.25,-43.75,1.7069642390190734e-06
-8.75,-43.75,1.759737990065096e-06
-8.25,-43.75,1.8134993483781666e-06
-7.75,-43.75,1.8682271074267377e-06
-7.25,-43.75,1.9239111724192675e-06
-6.75,-43.75,1.980545069096683e-06
-6.25,-43.75,2.0381154465997107e-06
-5.75,-43.75,2.096590445109515e-06
-5.25,-43.75,2.1559084826900172e-06
-4.75,-43.75,2.215969892323684e-06
-4.25,-43.75,2.2766324267109563e-06
-3.75,-43.75,2.3377109921217963e-06
-3.25,-43.75,2.398980096774744e-06
-2.75,-43.75,2.460177472022391e-06
-2.25,-43.75,2.521007523350806e-06
-1.75,-43.75,2.581144655775475e-06
-1.25,-43.75,2.6402369390390935e-06
-0.75,-43.75,2.697911681045798e-06
-0.25,-43.75,2.7537837611104786e-06
0.25,-43.75,2.8074664400331482e-06
0.75,-43.75,2.858583494856426e-06
1.25,-43.75,2.9067805921104008e-06
1.75,-43.75,2.9517334142682637e-06
2.25,-43.75,2.9931508299206823e-06
2.75,-43.75,3.0307724881399167e-06
3.25,-43.75,3.064363804614016e-06
3.75,-43.75,3.0937083028222674e-06
4.25,-43.75,3.118601556573416e-06
4.75,-43.75,3.13884780034676e-06
5.25,-43.75,3.154259652033434e-06
5.75,-43.75,3.1646605923355103e-06
6.25,-43.75,3.16988952687896e-06
6.75,-43.75,3.1698058251580737e-06
7.25,-43.75,3.164294886023115e-06
7.75,-43.75,3.1532732812988945e-06
8.25,-43.75,3.1366933635142038e-06
8.75,-43.75,3.1145476074217906e-06
9.25,-43.75,3.0868723266584066e-06
9.75,-43.75,3.0537504558692987e-06
10.25,-43.75,3.0153146521359403e-06
10.75,-43.75,2.9717494879519574e-06
11.25,-43.75,2.9232934010514824e-06
11.75,-43.75,2.870241379647759e-06
12.25,-43.75,2.8129466180341627e-06
12.75,-43.75,2.7518219154703485e-06
13.25,-43.75,2.6873391932908405e-06
13.75,-43.75,2.620025904507402e-06
14.25,-43.75,2.5504576203181866e-06
14.75,-43.75,2.4792459510409204e-06
15.25,-43.75,2.4070218886246845e-06
15.75,-43.75,2.334415142987803e-06
16.25,-43.75,2.2620310526875236e-06
16.75,-43.75,2.190428025702888e-06
17.25,-43.75,2.1200978518099585e-06
17.75,-43.75,2.0514506861459897e-06
18.25,-43.75,1.984805473336842e-06
18.75,-43.75,1.9203870020624076e-06
19.25,-43.75,1.8583280598192667e-06
19.75,-43.75,1.7986755556297628e-06
20.25,-43.75,1.7413997743624037e-06
20.75,-43.75,1.686405321210214e-06
21.25,-43.75,1.6335437041378066e-06
21.75,-43.75,1.5826269707589425e-06
22.25,-43.75,1.5334434394745529e-06
22.75,-43.75,1.485774775099699e-06
23.25,-43.75,1.439413618578671e-06
23.75,-43.75,1.394180414739174e-06
24.25,-43.75,1.3499371093382453e-06
24.75,-43.75,1.306595423713224e-06
25.25,-43.75,1.2641186050622774e-06
25.75,-43.75,1.222516057137238e-06
