x [mm],y [mm],Beam dist
41.25,-44.25,9.64762e-06
41.75,-44.25,1.64745e-05
42.25,-44.25,2.33014e-05
42.75,-44.25,3.01283e-05
43.25,-44.25,3.69551e-05
43.75,-44.25,4.3782e-05
44.25,-44.25,4.3782e-05
44.75,-44.25,4.3782e-05
-44.75,-43.75,2.49862e-05
-44.25,-43.75,2.49862e-05
-43.75,-43.75,2.49862e-05
-43.25,-43.75,9.214e-05
-42.75,-43.75,0.000159294
-42.25,-43.75,0.000226448
-41.75,-43.75,0.000293601
-41.25,-43.75,0.000360755
-40.75,-43.75,0.000482464
-40.25,-43.75,0.000604173
-39.75,-43.75,0.000725882
-39.25,-43.75,0.000847591
-38.75,-43.75,0.0009693
-38.25,-43.75,0.000934236
-37.75,-43.75,0.000899172
-37.25,-43.75,0.000864108
-36.75,-43.75,0.000829044
-36.25,-43.75,0.00079398
-35.75,-43.75,0.000760955
-35.25,-43.75,0.000727931
-34.75,-43.75,0.000694907
-34.25,-43.75,0.000661883
-33.75,-43.75,0.000628858
-33.25,-43.75,0.000618871
-32.75,-43.75,0.000608883
-32.25,-43.75,0.000598895
-31.75,-43.75,0.000588907
-31.25,-43.75,0.000578919
-30.75,-43.75,0.000577562
-30.25,-43.75,0.000576205
-29.75,-43.75,0.000574849
-29.25,-43.75,0.000573492
-28.75,-43.75,0.000572135
-28.25,-43.75,0.000579652
-27.75,-43.75,0.00058717
-27.25,-43.75,0.000594687
-26.75,-43.75,0.000602205
-26.25,-43.75,0.000609723
-25.75,-43.75,0.000631698
-25.25,-43.75,0.000653674
-24.75,-43.75,0.00067565
-24.25,-43.75,0.000697625
-23.75,-43.75,0.000719601
-23.25,-43.75,0.000750055
-22.75,-43.75,0.000780509
-22.25,-43.75,0.000810963
-21.75,-43.75,0.000841417
-21.25,-43.75,0.000871871
-20.75,-43.75,0.000905431
-20.25,-43.75,0.00093899
-19.75,-43.75,0.00097255
-19.25,-43.75,0.00100611
-18.75,-43.75,0.00103967
-18.25,-43.75,0.00108442
-17.75,-43.75,0.00112918
