x [mm],y [mm],Beam dist
-42.25,-43.25,0.000196658
-41.75,-43.25,0.000261224
-41.25,-43.25,0.000325791
-40.75,-43.25,0.000383792
-40.25,-43.25,0.000441792
-39.75,-43.25,0.000499793
-39.25,-43.25,0.000557794
-38.75,-43.25,0.000615795
-38.25,-43.25,0.000596435
-37.75,-43.25,0.000577075
-37.25,-43.25,0.000557715
-36.75,-43.25,0.000538356
-36.25,-43.25,0.000518996
-35.75,-43.25,0.000496681
-35.25,-43.25,0.000474367
-34.75,-43.25,0.000452052
-34.25,-43.25,0.000429737
-33.75,-43.25,0.000407423
-33.25,-43.25,0.000405449
-32.75,-43.25,0.000403475
-32.25,-43.25,0.000401501
-31.75,-43.25,0.000399527
-31.25,-43.25,0.000397553
-30.75,-43.25,0.000406204
-30.25,-43.25,0.000414856
-29.75,-43.25,0.000423507
-29.25,-43.25,0.000432159
-28.75,-43.25,0.00044081
-28.25,-43.25,0.000450842
-27.75,-43.25,0.000460874
-27.25,-43.25,0.000470905
-26.75,-43.25,0.000480937
-26.25,-43.25,0.000490969
-25.75,-43.25,0.000516591
-25.25,-43.25,0.000542214
-24.75,-43.25,0.000567837
-24.25,-43.25,0.00059346
-23.75,-43.25,0.000619082
-23.25,-43.25,0.000640886
-22.75,-43.25,0.000662689
-22.25,-43.25,0.000684493
-21.75,-43.25,0.000706296
-21.25,-43.25,0.000728099
-20.75,-43.25,0.000751575
-20.25,-43.25,0.000775051
-19.75,-43.25,0.000798527
-19.25,-43.25,0.000822003
-18.75,-43.25,0.000845479
-18.25,-43.25,0.000895113
-17.75,-43.25,0.000944747
-17.25,-43.25,0.000994381
-16.75,-43.25,0.00104401
-16.25,-43.25,0.00109365
-15.75,-43.25,0.00113662
-15.25,-43.25,0.00117959
-14.75,-43.25,0.00122256
-14.25,-43.25,0.00126553
-13.75,-43.25,0.0013085
-13.25,-43.25,0.00136059
-12.75,-43.25,0.00141269
-12.25,-43.25,0.00146479
-11.75,-43.25,0.00151688
-11.25,-43.25,0.00156898
-10.75,-43.25,0.00162657
-10.25,-43.25,0.00168417
-9.75,-43.25,0.00174176
-9.25,-43.25,0.00179935
-8.75,-43.25,0.00185694
-8.25,-43.25,0.00195201
-7.75,-43.25,0.00204707
-7.25,-43.25,0.00214213
-6.75,-43.25,0.00223719
-6.25,-43.25,0.00233225
-5.75,-43.25,0.00239431
-5.25,-43.25,0.00245636
-4.75,-43.25,0.00251841
-4.25,-43.25,0.00258046
-3.75,-43.25,0.00264251
-3.25,-43.25,0.00270934
-2.75,-43.25,0.00277617
-2.25,-43.25,0.002843
-1.75,-43.25,0.00290984
-1.25,-43.25,0.00297667
-0.75,-43.25,0.00305873
-0.25,-43.25,0.0031408
0.25,-43.25,0.00322286
0.75,-43.25,0.00330493
1.25,-43.25,0.003387
1.75,-43.25,0.00343057
2.25,-43.25,0.00347415
2.75,-43.25,0.00351773
3.25,-43.25,0.0035613
3.75,-43.25,0.00360488
4.25,-43.25,0.00363888
4.75,-43.25,0.00367288
5.25,-43.25,0.00370688
5.75,-43.25,0.00374088
6.25,-43.25,0.00377489
6.75,-43.25,0.00375679
7.25,-43.25,0.00373869
7.75,-43.25,0.00372059
8.25,-43.25,0.00370249
8.75,-43.25,0.00368439
9.25,-43.25,0.0036278
9.75,-43.25,0.0035712
10.25,-43.25,0.00351461
10.75,-43.25,0.00345801
11.25,-43.25,0.00340142
11.75,-43.25,0.003312
12.25,-43.25,0.00322259
12.75,-43.25,0.00313317
13.25,-43.25,0.00304376
13.75,-43.25,0.00295435
14.25,-43.25,0.00285781
14.75,-43.25,0.00276128
15.25,-43.25,0.00266475
15.75,-43.25,0.00256821
16.25,-43.25,0.00247168
16.75,-43.25,0.00238066
17.25,-43.25,0.00228964
17.75,-43.25,0.00219862
18.25,-43.25,0.0021076
18.75,-43.25,0.00201658
19.25,-43.25,0.00195138
19.75,-43.25,0.00188617
20.25,-43.25,0.00182097
20.75,-43.25,0.00175577
21.25,-43.25,0.00169057
21.75,-43.25,0.00160419
22.25,-43.25,0.0015178
22.75,-43.25,0.00143142
23.25,-43.25,0.00134504
23.75,-43.25,0.00125866
24.25,-43.25,0.00121167
24.75,-43.25,0.00116468
25.25,-43.25,0.00111769
25.75,-43.25,0.0010707
26.25,-43.25,0.00102371
26.75,-43.25,0.000972564
27.25,-43.25,0.000921414
27.75,-43.25,0.000870264
28.25,-43.25,0.000819114
28.75,-43.25,0.000767964
29.25,-43.25,0.000742312
29.75,-43.25,0.000716661
30.25,-43.25,0.000691009
30.75,-43.25,0.000665358
31.25,-43.25,0.000639706
31.75,-43.25,0.00061243
32.25,-43.25,0.000585154
32.75,-43.25,0.000557877
33.25,-43.25,0.000530601
33.75,-43.25,0.000503325
34.25,-43.25,0.000473552
34.75,-43.25,0.000443779
35.25,-43.25,0.000414006
35.75,-43.25,0.000384232
36.25,-43.25,0.000354459
36.75,-43.25,0.000309409
37.25,-43.25,0.000264358
37.75,-43.25,0.000219307
38.25,-43.25,0.000174256
38.75,-43.25,0.000129206
39.25,-43.25,0.000105145
39.75,-43.25,8.10842e-05
40.25,-43.25,5.70235e-05
40.75,-43.25,3.29628e-05
41.25,-43.25,8.90203e-06
41.75,-43.25,1.51565e-05
42.25,-43.25,2.1411e-05
42.75,-43.25,2.76655e-05
43.25,-43.25,3.392e-05
43.75,-43.25,4.01745e-05
44.25,-43.25,4.01745e-05
44.75,-43.25,4.01745e-05
-44.75,-42.75,5.91781e-06
-44.25,-42.75,5.91781e-06
-43.75,-42.75,5.91781e-06
-43.25,-42.75,8.73041e-05
-42.75,-42.75,0.00016869
-42.25,-42.75,0.000250077
-41.75,-42.75,0.000331463
-41.25,-42.75,0.000412849
-40.75,-42.75,0.000461809
-40.25,-42.75,0.000510768
-39.75,-42.75,0.000559727
-39.25,-42.75,0.000608686
-38.75,-42.75,0.000657646
-38.25,-42.75,0.000635957
-37.75,-42.75,0.000614269
-37.25,-42.75,0.000592581
-36.75,-42.75,0.000570893
-36.25,-42.75,0.000549205
-35.75,-42.75,0.000531841
-35.25,-42.75,0.000514477
-34.75,-42.75,0.000497113
-34.25,-42.75,0.00047975
-33.75,-42.75,0.000462386
-33.25,-42.75,0.00045969
-32.75,-42.75,0.000456995
-32.25,-42.75,0.000454299
-31.75,-42.75,0.000451604
-31.25,-42.75,0.000448908
-30.75,-42.75,0.00045865
-30.25,-42.75,0.000468392
-29.75,-42.75,0.000478133
-29.25,-42.75,0.000487875
-28.75,-42.75,0.000497617
-28.25,-42.75,0.000510457
-27.75,-42.75,0.000523298
-27.25,-42.75,0.000536138
-26.75,-42.75,0.000548979
-26.25,-42.75,0.000561819
-25.75,-42.75,0.000586856
-25.25,-42.75,0.000611893
-24.75,-42.75,0.00063693
-24.25,-42.75,0.000661967
-23.75,-42.75,0.000687004
-23.25,-42.75,0.000710779
-22.75,-42.75,0.000734554
-22.25,-42.75,0.000758329
-21.75,-42.75,0.000782104
-21.25,-42.75,0.000805879
-20.75,-42.75,0.000834851
-20.25,-42.75,0.000863823
-19.75,-42.75,0.000892795
